Mathematical Aptitude,Logical Reasoning,Openness,Conscientiousness,Emotional Stability,Agreeableness/ Assertiveness,Creativity,Aptitude,Programming,Design Software,3D Skills,Web Development Confidence,Suggested Tracks
Excellent,Excellent,Somewhat Open,Not,Calm,Not Cooperative,Not Creative,Technically Inclined,Intermediate,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Bad,Excellent,Not Open,Not,Calm,Cooperative,Highly Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Average,Average,Somewhat Open,Moderate,Overwhelmed,In-Between,Not Creative,Not Technically Inclined,Advanced,Highly Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Bad,Open,Highly,Pressured (Composed),Not Cooperative,Highly Creative,Not Technically Inclined,Advanced,Proficient,Not Experienced,Not Confident,"Cyber Security, Data Science"
Average,Excellent,Not Open,Not,Overwhelmed,In-Between,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Average,Average,Not Open,Moderate,Pressured (Composed),Not Cooperative,Creative,Technically Inclined,Intermediate,Not Proficient,Not Experienced,Highly Confident,Blockchain
Excellent,Average,Open,Highly,Calm,In-Between,Creative,Technically Inclined,Basic,Proficient,Not Experienced,Moderately Confident,Blockchain
Bad,Excellent,Not Open,Moderate,Pressured (Composed),Cooperative,Not Creative,Technically Inclined,Advanced,Highly Proficient,Not Experienced,Not Confident,"Mobile Application, Software Development"
Average,Bad,Not Open,Moderate,Calm,Cooperative,Creative,Technically Inclined,Basic,Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Excellent,Somewhat Open,Moderate,Overwhelmed,Cooperative,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Average,Bad,Not Open,Highly,Overwhelmed,In-Between,Creative,Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Bad,Average,Open,Highly,Pressured (Composed),Cooperative,Creative,Technically Inclined,Advanced,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Bad,Average,Open,Moderate,Pressured (Composed),Cooperative,Highly Creative,Technically Inclined,Intermediate,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Average,Average,Somewhat Open,Highly,Calm,In-Between,Highly Creative,Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Highly Confident,Blockchain
Excellent,Excellent,Open,Not,Overwhelmed,In-Between,Not Creative,Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Average,Somewhat Open,Highly,Overwhelmed,Not Cooperative,Creative,Technically Inclined,Basic,Not Proficient,Not Experienced,Not Confident,Blockchain
Bad,Excellent,Not Open,Not,Overwhelmed,In-Between,Creative,Technically Inclined,Basic,Not Proficient,Highly Experienced,Not Confident,Blockchain
Excellent,Excellent,Somewhat Open,Not,Pressured (Composed),Cooperative,Creative,Not Technically Inclined,Basic,Proficient,Not Experienced,Not Confident,Blockchain
Average,Average,Not Open,Highly,Overwhelmed,In-Between,Creative,Technically Inclined,Intermediate,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Average,Average,Not Open,Not,Calm,Cooperative,Creative,Technically Inclined,Advanced,Proficient,Not Experienced,Not Confident,"Mobile Application, Software Development"
Bad,Excellent,Not Open,Not,Pressured (Composed),Cooperative,Creative,Technically Inclined,Basic,Highly Proficient,Highly Experienced,Not Confident,Blockchain
Average,Bad,Not Open,Moderate,Calm,In-Between,Highly Creative,Not Technically Inclined,Advanced,Not Proficient,Highly Experienced,Not Confident,Blockchain
Excellent,Excellent,Open,Not,Calm,Not Cooperative,Creative,Technically Inclined,Basic,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Average,Average,Somewhat Open,Moderate,Pressured (Composed),Not Cooperative,Creative,Not Technically Inclined,Intermediate,Proficient,Highly Experienced,Not Confident,"Mobile Application, Software Development"
Average,Bad,Not Open,Not,Overwhelmed,Cooperative,Highly Creative,Not Technically Inclined,Advanced,Highly Proficient,Not Experienced,Not Confident,"Mobile Application, Software Development"
Excellent,Average,Open,Moderate,Calm,Cooperative,Highly Creative,Technically Inclined,Basic,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Average,Average,Not Open,Moderate,Calm,Not Cooperative,Highly Creative,Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Excellent,Bad,Open,Moderate,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Average,Not Open,Highly,Pressured (Composed),Cooperative,Not Creative,Not Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Moderately Confident,"Cyber Security, Data Science"
Bad,Average,Somewhat Open,Moderate,Pressured (Composed),Not Cooperative,Not Creative,Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Average,Somewhat Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Technically Inclined,Intermediate,Not Proficient,Not Experienced,Not Confident,Blockchain
Excellent,Excellent,Not Open,Not,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Intermediate,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Bad,Somewhat Open,Highly,Pressured (Composed),Not Cooperative,Highly Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Average,Average,Open,Highly,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Basic,Proficient,Moderately Experienced,Highly Confident,Blockchain
Excellent,Excellent,Somewhat Open,Not,Calm,In-Between,Creative,Technically Inclined,Basic,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Bad,Excellent,Open,Moderate,Calm,Cooperative,Not Creative,Not Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Bad,Not Open,Not,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Basic,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Average,Open,Not,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Basic,Highly Proficient,Not Experienced,Highly Confident,Blockchain
Excellent,Bad,Somewhat Open,Highly,Overwhelmed,In-Between,Creative,Technically Inclined,Basic,Highly Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Excellent,Open,Moderate,Calm,Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Highly Confident,"3D Animation Skills, Product Design"
Excellent,Average,Not Open,Highly,Calm,Not Cooperative,Not Creative,Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Not Confident,Blockchain
Excellent,Average,Open,Moderate,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Advanced,Highly Proficient,Not Experienced,Highly Confident,"Mobile Application, Software Development"
Bad,Average,Somewhat Open,Highly,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Basic,Proficient,Highly Experienced,Moderately Confident,Blockchain
Excellent,Bad,Somewhat Open,Not,Overwhelmed,In-Between,Not Creative,Not Technically Inclined,Basic,Highly Proficient,Not Experienced,Highly Confident,Blockchain
Excellent,Average,Not Open,Highly,Calm,In-Between,Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Not Confident,"Cyber Security, Data Science"
Excellent,Bad,Somewhat Open,Highly,Overwhelmed,Not Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Highly Confident,"Cyber Security, Data Science"
Bad,Bad,Not Open,Highly,Overwhelmed,Cooperative,Creative,Not Technically Inclined,Intermediate,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Bad,Average,Somewhat Open,Not,Calm,In-Between,Not Creative,Technically Inclined,Advanced,Proficient,Highly Experienced,Not Confident,"Mobile Application, Software Development"
Bad,Average,Open,Not,Overwhelmed,In-Between,Creative,Not Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Average,Bad,Open,Not,Overwhelmed,Cooperative,Creative,Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Bad,Bad,Somewhat Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Technically Inclined,Basic,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Excellent,Bad,Open,Not,Overwhelmed,Cooperative,Not Creative,Technically Inclined,Advanced,Not Proficient,Not Experienced,Not Confident,Blockchain
Excellent,Excellent,Somewhat Open,Highly,Calm,In-Between,Creative,Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Highly Confident,"Cyber Security, Data Science"
Bad,Bad,Not Open,Highly,Calm,Not Cooperative,Not Creative,Not Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Not Confident,Blockchain
Average,Bad,Somewhat Open,Moderate,Overwhelmed,Cooperative,Highly Creative,Not Technically Inclined,Basic,Proficient,Highly Experienced,Moderately Confident,Blockchain
Bad,Excellent,Somewhat Open,Highly,Calm,In-Between,Creative,Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Bad,Somewhat Open,Moderate,Overwhelmed,Not Cooperative,Not Creative,Not Technically Inclined,Advanced,Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Average,Not Open,Moderate,Pressured (Composed),Cooperative,Creative,Not Technically Inclined,Advanced,Not Proficient,Not Experienced,Not Confident,Blockchain
Bad,Average,Not Open,Not,Pressured (Composed),Cooperative,Not Creative,Technically Inclined,Intermediate,Proficient,Highly Experienced,Not Confident,"Mobile Application, Software Development"
Bad,Bad,Open,Highly,Overwhelmed,In-Between,Creative,Technically Inclined,Intermediate,Highly Proficient,Not Experienced,Not Confident,"Cyber Security, Data Science"
Bad,Average,Somewhat Open,Highly,Overwhelmed,In-Between,Creative,Not Technically Inclined,Advanced,Highly Proficient,Not Experienced,Moderately Confident,"Cyber Security, Data Science"
Excellent,Excellent,Somewhat Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Advanced,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Bad,Average,Not Open,Highly,Calm,In-Between,Creative,Technically Inclined,Basic,Highly Proficient,Highly Experienced,Not Confident,Blockchain
Average,Bad,Open,Moderate,Pressured (Composed),Cooperative,Highly Creative,Technically Inclined,Basic,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Average,Excellent,Somewhat Open,Not,Overwhelmed,Not Cooperative,Not Creative,Technically Inclined,Advanced,Proficient,Not Experienced,Highly Confident,"Mobile Application, Software Development"
Bad,Bad,Open,Not,Calm,Not Cooperative,Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Average,Average,Not Open,Not,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Basic,Proficient,Moderately Experienced,Not Confident,Blockchain
Average,Average,Somewhat Open,Highly,Overwhelmed,Cooperative,Not Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,"Cyber Security, Data Science"
Bad,Average,Somewhat Open,Highly,Pressured (Composed),In-Between,Highly Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,"Cyber Security, Data Science"
Average,Excellent,Somewhat Open,Not,Calm,Not Cooperative,Creative,Not Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Excellent,Excellent,Open,Highly,Overwhelmed,Cooperative,Creative,Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Not Confident,"Cyber Security, Data Science"
Average,Bad,Open,Moderate,Pressured (Composed),Cooperative,Highly Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Highly Confident,"Mobile Application, Software Development"
Excellent,Bad,Not Open,Not,Pressured (Composed),Cooperative,Creative,Not Technically Inclined,Intermediate,Highly Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Bad,Somewhat Open,Not,Overwhelmed,In-Between,Not Creative,Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Highly Confident,"3D Animation Skills, Product Design"
Bad,Excellent,Somewhat Open,Not,Calm,Not Cooperative,Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Excellent,Bad,Not Open,Moderate,Calm,Not Cooperative,Highly Creative,Technically Inclined,Advanced,Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Average,Excellent,Open,Highly,Overwhelmed,Not Cooperative,Not Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,"Cyber Security, Data Science"
Bad,Bad,Somewhat Open,Not,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Excellent,Open,Not,Calm,Cooperative,Highly Creative,Not Technically Inclined,Basic,Proficient,Highly Experienced,Not Confident,Blockchain
Average,Average,Somewhat Open,Not,Overwhelmed,Cooperative,Creative,Not Technically Inclined,Advanced,Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Excellent,Bad,Somewhat Open,Highly,Calm,Cooperative,Not Creative,Technically Inclined,Advanced,Proficient,Not Experienced,Highly Confident,"Cyber Security, Data Science"
Bad,Excellent,Somewhat Open,Highly,Pressured (Composed),Cooperative,Not Creative,Technically Inclined,Intermediate,Proficient,Highly Experienced,Moderately Confident,"Cyber Security, Data Science"
Average,Excellent,Somewhat Open,Highly,Calm,In-Between,Not Creative,Technically Inclined,Basic,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Average,Somewhat Open,Moderate,Overwhelmed,In-Between,Creative,Technically Inclined,Basic,Highly Proficient,Highly Experienced,Moderately Confident,Blockchain
Bad,Bad,Somewhat Open,Not,Overwhelmed,Cooperative,Not Creative,Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Bad,Not Open,Not,Calm,Not Cooperative,Creative,Technically Inclined,Advanced,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Excellent,Excellent,Open,Moderate,Overwhelmed,In-Between,Creative,Not Technically Inclined,Basic,Proficient,Highly Experienced,Moderately Confident,Blockchain
Average,Average,Not Open,Highly,Calm,In-Between,Highly Creative,Technically Inclined,Basic,Not Proficient,Highly Experienced,Not Confident,Blockchain
Average,Excellent,Somewhat Open,Not,Pressured (Composed),Cooperative,Creative,Not Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Not Confident,Blockchain
Excellent,Bad,Not Open,Moderate,Overwhelmed,Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Excellent,Excellent,Somewhat Open,Not,Calm,Not Cooperative,Not Creative,Not Technically Inclined,Basic,Not Proficient,Not Experienced,Not Confident,Blockchain
Average,Excellent,Not Open,Moderate,Calm,Cooperative,Creative,Not Technically Inclined,Basic,Proficient,Not Experienced,Moderately Confident,Blockchain
Bad,Excellent,Somewhat Open,Highly,Calm,Not Cooperative,Highly Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Not Confident,"Cyber Security, Data Science"
Bad,Average,Open,Highly,Overwhelmed,In-Between,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Excellent,Bad,Somewhat Open,Highly,Pressured (Composed),In-Between,Highly Creative,Not Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Not Confident,Blockchain
Bad,Excellent,Not Open,Highly,Calm,In-Between,Not Creative,Technically Inclined,Basic,Proficient,Moderately Experienced,Highly Confident,Blockchain
Average,Excellent,Not Open,Not,Pressured (Composed),Cooperative,Not Creative,Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Excellent,Not Open,Moderate,Overwhelmed,In-Between,Not Creative,Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Average,Somewhat Open,Not,Overwhelmed,In-Between,Not Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Average,Bad,Somewhat Open,Not,Calm,Not Cooperative,Highly Creative,Not Technically Inclined,Advanced,Highly Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Average,Bad,Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Highly Confident,"Cyber Security, Data Science"
Excellent,Bad,Open,Moderate,Overwhelmed,Cooperative,Creative,Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Excellent,Average,Not Open,Not,Calm,In-Between,Highly Creative,Not Technically Inclined,Basic,Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Average,Not Open,Moderate,Pressured (Composed),Cooperative,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Bad,Somewhat Open,Moderate,Calm,Cooperative,Highly Creative,Not Technically Inclined,Advanced,Proficient,Highly Experienced,Highly Confident,"Mobile Application, Software Development"
Excellent,Excellent,Not Open,Not,Pressured (Composed),Not Cooperative,Highly Creative,Technically Inclined,Intermediate,Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Bad,Bad,Open,Highly,Pressured (Composed),In-Between,Highly Creative,Not Technically Inclined,Intermediate,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Excellent,Bad,Somewhat Open,Highly,Overwhelmed,In-Between,Creative,Not Technically Inclined,Advanced,Highly Proficient,Not Experienced,Not Confident,"Cyber Security, Data Science"
Average,Bad,Not Open,Not,Pressured (Composed),In-Between,Not Creative,Technically Inclined,Advanced,Highly Proficient,Not Experienced,Moderately Confident,"Mobile Application, Software Development"
Excellent,Excellent,Not Open,Moderate,Calm,In-Between,Not Creative,Technically Inclined,Advanced,Proficient,Highly Experienced,Not Confident,"Mobile Application, Software Development"
Bad,Average,Open,Highly,Calm,In-Between,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Not Experienced,Not Confident,Blockchain
Excellent,Excellent,Open,Highly,Overwhelmed,Cooperative,Not Creative,Not Technically Inclined,Advanced,Highly Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Average,Bad,Somewhat Open,Highly,Calm,In-Between,Highly Creative,Technically Inclined,Advanced,Not Proficient,Not Experienced,Not Confident,Blockchain
Bad,Bad,Not Open,Not,Pressured (Composed),Cooperative,Highly Creative,Not Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Not Confident,"Mobile Application, Software Development"
Average,Average,Not Open,Highly,Overwhelmed,Not Cooperative,Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Moderately Confident,"Cyber Security, Data Science"
Excellent,Excellent,Not Open,Not,Overwhelmed,In-Between,Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Highly Confident,"Mobile Application, Software Development"
Excellent,Excellent,Open,Highly,Overwhelmed,Not Cooperative,Highly Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Average,Somewhat Open,Not,Calm,Cooperative,Not Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Bad,Excellent,Not Open,Highly,Pressured (Composed),Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,"Cyber Security, Data Science"
Average,Excellent,Somewhat Open,Highly,Pressured (Composed),Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,"Cyber Security, Data Science"
Average,Excellent,Not Open,Moderate,Overwhelmed,Cooperative,Not Creative,Not Technically Inclined,Intermediate,Proficient,Not Experienced,Highly Confident,"Mobile Application, Software Development"
Average,Bad,Open,Moderate,Calm,Cooperative,Highly Creative,Not Technically Inclined,Advanced,Proficient,Not Experienced,Moderately Confident,Product Management
Bad,Bad,Open,Moderate,Calm,In-Between,Highly Creative,Technically Inclined,Intermediate,Proficient,Not Experienced,Moderately Confident,Product Management
Average,Bad,Open,Highly,Calm,Cooperative,Highly Creative,Technically Inclined,Basic,Not Proficient,Not Experienced,Not Confident,Blockchain
Excellent,Bad,Open,Moderate,Overwhelmed,Not Cooperative,Creative,Not Technically Inclined,Intermediate,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Excellent,Excellent,Somewhat Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Intermediate,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Excellent,Excellent,Not Open,Highly,Calm,Cooperative,Creative,Not Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Moderately Confident,Blockchain
Excellent,Excellent,Open,Not,Calm,Not Cooperative,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Average,Bad,Open,Moderate,Overwhelmed,Not Cooperative,Creative,Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Excellent,Open,Not,Overwhelmed,Cooperative,Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Not Confident,Blockchain
Bad,Bad,Not Open,Moderate,Overwhelmed,Cooperative,Highly Creative,Technically Inclined,Intermediate,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Bad,Bad,Open,Not,Overwhelmed,In-Between,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Not Experienced,Not Confident,Blockchain
Average,Bad,Open,Highly,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Advanced,Not Proficient,Not Experienced,Not Confident,Blockchain
Average,Average,Open,Not,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Highly Confident,"Mobile Application, Software Development"
Bad,Average,Not Open,Moderate,Pressured (Composed),Cooperative,Not Creative,Not Technically Inclined,Basic,Highly Proficient,Not Experienced,Highly Confident,Blockchain
Bad,Bad,Somewhat Open,Moderate,Calm,Cooperative,Creative,Technically Inclined,Advanced,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Excellent,Excellent,Somewhat Open,Not,Calm,Not Cooperative,Highly Creative,Technically Inclined,Intermediate,Not Proficient,Highly Experienced,Not Confident,Blockchain
Average,Excellent,Somewhat Open,Moderate,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Highly Confident,"Mobile Application, Software Development"
Bad,Bad,Not Open,Highly,Overwhelmed,In-Between,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Not Confident,Blockchain
Average,Average,Not Open,Moderate,Calm,Not Cooperative,Creative,Not Technically Inclined,Advanced,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Excellent,Excellent,Open,Moderate,Calm,In-Between,Not Creative,Not Technically Inclined,Basic,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Average,Excellent,Somewhat Open,Highly,Calm,Cooperative,Not Creative,Not Technically Inclined,Advanced,Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Average,Average,Open,Moderate,Pressured (Composed),Not Cooperative,Creative,Not Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Excellent,Bad,Not Open,Not,Overwhelmed,In-Between,Creative,Technically Inclined,Intermediate,Highly Proficient,Not Experienced,Highly Confident,"Mobile Application, Software Development"
Excellent,Excellent,Somewhat Open,Highly,Calm,Not Cooperative,Creative,Technically Inclined,Intermediate,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Average,Excellent,Not Open,Highly,Pressured (Composed),Cooperative,Highly Creative,Not Technically Inclined,Basic,Proficient,Moderately Experienced,Moderately Confident,Blockchain
Bad,Excellent,Not Open,Not,Overwhelmed,Not Cooperative,Not Creative,Not Technically Inclined,Advanced,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Average,Excellent,Somewhat Open,Highly,Overwhelmed,In-Between,Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Not Confident,Blockchain
Average,Bad,Somewhat Open,Highly,Overwhelmed,In-Between,Creative,Technically Inclined,Advanced,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Excellent,Excellent,Not Open,Moderate,Overwhelmed,Not Cooperative,Creative,Not Technically Inclined,Intermediate,Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Excellent,Bad,Open,Not,Pressured (Composed),In-Between,Highly Creative,Not Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Bad,Not Open,Highly,Pressured (Composed),In-Between,Highly Creative,Technically Inclined,Intermediate,Highly Proficient,Not Experienced,Not Confident,"Cyber Security, Data Science"
Bad,Excellent,Not Open,Not,Pressured (Composed),Cooperative,Not Creative,Technically Inclined,Intermediate,Proficient,Highly Experienced,Highly Confident,"Mobile Application, Software Development"
Average,Bad,Somewhat Open,Highly,Overwhelmed,Cooperative,Creative,Not Technically Inclined,Intermediate,Proficient,Highly Experienced,Moderately Confident,"Cyber Security, Data Science"
Average,Bad,Not Open,Highly,Overwhelmed,Cooperative,Not Creative,Not Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Average,Not Open,Not,Calm,Not Cooperative,Highly Creative,Technically Inclined,Basic,Not Proficient,Not Experienced,Not Confident,Blockchain
Average,Average,Not Open,Moderate,Overwhelmed,Not Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Excellent,Excellent,Not Open,Not,Overwhelmed,Not Cooperative,Not Creative,Technically Inclined,Intermediate,Highly Proficient,Not Experienced,Highly Confident,"Mobile Application, Software Development"
Bad,Bad,Somewhat Open,Moderate,Overwhelmed,In-Between,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Average,Excellent,Not Open,Moderate,Calm,Cooperative,Highly Creative,Not Technically Inclined,Basic,Not Proficient,Highly Experienced,Moderately Confident,Blockchain
Bad,Bad,Somewhat Open,Moderate,Pressured (Composed),In-Between,Creative,Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Excellent,Bad,Not Open,Not,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Intermediate,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Bad,Average,Somewhat Open,Highly,Pressured (Composed),Not Cooperative,Highly Creative,Technically Inclined,Intermediate,Proficient,Not Experienced,Highly Confident,"Cyber Security, Data Science"
Average,Average,Open,Not,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Basic,Proficient,Not Experienced,Highly Confident,Blockchain
Excellent,Bad,Open,Moderate,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Basic,Highly Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Average,Somewhat Open,Moderate,Overwhelmed,Not Cooperative,Highly Creative,Not Technically Inclined,Intermediate,Not Proficient,Not Experienced,Not Confident,Blockchain
Excellent,Bad,Open,Moderate,Calm,Not Cooperative,Creative,Technically Inclined,Advanced,Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Average,Bad,Not Open,Highly,Overwhelmed,Not Cooperative,Highly Creative,Not Technically Inclined,Advanced,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Bad,Excellent,Open,Not,Pressured (Composed),Cooperative,Highly Creative,Not Technically Inclined,Advanced,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Bad,Bad,Not Open,Not,Calm,Not Cooperative,Creative,Not Technically Inclined,Advanced,Not Proficient,Not Experienced,Moderately Confident,Blockchain
